event_date,event_code,case_id
7/13/2014,20,98136/2014
7/14/2014,20,76456/2014
7/14/2014,55,76456/2014
7/16/2014,6,38268/2014
7/18/2014,6,90538/2014
7/19/2014,20,18047/2014
7/20/2014,6,15617/2014
7/20/2014,6,22119/2014
7/20/2014,6,37406/2014
7/20/2014,55,38104/2014
7/20/2014,20,68378/2014
7/21/2014,55,76653/2014
7/22/2014,6,92113/2014
7/23/2014,20,33258/2014
7/23/2014,20,53543/2014
7/23/2014,55,53543/2014
7/24/2014,110,67507/2014
7/24/2014,55,79644/2014
7/25/2014,20,2957/2014
7/27/2014,55,17059/2014
7/27/2014,20,69017/2014
7/27/2014,55,69017/2014
7/28/2014,6,69327/2014
7/28/2014,55,90074/2014
8/1/2014,6,65517/2014
8/3/2014,20,70784/2014
8/5/2014,110,34398/2014
8/5/2014,20,38667/2014
8/6/2014,20,79215/2014
8/8/2014,110,33192/2014
8/10/2014,55,12101/2014
8/10/2014,55,25966/2014
8/10/2014,130,59994/2014
8/10/2014,110,92295/2014
8/11/2014,20,28585/2014
8/11/2014,55,28585/2014
8/13/2014,110,64595/2014
8/14/2014,110,30579/2014
8/15/2014,110,35865/2014
8/16/2014,20,38268/2014
8/19/2014,55,1686/2014
8/20/2014,20,22119/2014
8/20/2014,110,52653/2014
8/23/2014,55,33258/2014
8/23/2014,110,87530/2014
8/24/2014,55,38002/2014
8/24/2014,110,79644/2014
8/26/2014,55,88164/2014
8/26/2014,20,98561/2014
8/27/2014,55,39537/2014
8/27/2014,6,95317/2014
8/28/2014,6,48277/2014
8/28/2014,20,69327/2014
9/3/2014,55,70784/2014
9/4/2014,6,24405/2014
9/4/2014,6,44418/2014
9/7/2014,6,33601/2014
9/7/2014,55,80061/2014
9/7/2014,110,80061/2014
9/8/2014,110,15804/2014
9/12/2014,6,71770/2014
9/12/2014,55,76235/2014
9/13/2014,6,22094/2014
9/13/2014,55,61390/2014
9/13/2014,55,98136/2014
9/15/2014,121,35865/2014
9/18/2014,55,81186/2014
9/18/2014,110,81186/2014
9/18/2014,20,90538/2014
9/19/2014,55,18047/2014
9/20/2014,20,15617/2014
9/20/2014,20,37406/2014
9/20/2014,6,53163/2014
9/20/2014,55,68378/2014
9/22/2014,20,92113/2014
9/22/2014,55,92113/2014
9/25/2014,55,2957/2014
9/25/2014,110,35177/2014
9/26/2014,110,82226/2014
9/26/2014,55,98561/2014
9/27/2014,110,17059/2014
9/27/2014,110,69017/2014
9/27/2014,20,95317/2014
9/28/2014,110,90074/2014
10/1/2014,20,65517/2014
10/2/2014,6,27293/2014
10/2/2014,6,80471/2014
10/3/2014,6,59224/2014
10/3/2014,6,96730/2014
10/4/2014,6,29905/2014
10/4/2014,20,44418/2014
10/6/2014,110,59925/2014
10/8/2014,145,33192/2014
10/8/2014,110,78401/2014
10/9/2014,110,41824/2014
10/10/2014,110,12101/2014
10/10/2014,110,59994/2014
10/11/2014,121,79688/2014
10/12/2014,6,68211/2014
10/12/2014,110,71220/2014
10/12/2014,20,71770/2014
10/13/2014,20,22094/2014
10/13/2014,110,61390/2014
10/14/2014,6,72901/2014
10/17/2014,6,53923/2014
10/18/2014,55,90538/2014
10/19/2014,110,1686/2014
10/20/2014,55,15617/2014
10/20/2014,55,37406/2014
10/20/2014,20,53163/2014
10/23/2014,110,41449/2014
10/25/2014,110,9942/2014
10/26/2014,145,82226/2014
10/26/2014,110,88164/2014
10/27/2014,151,17059/2014
10/28/2014,20,48277/2014
11/2/2014,20,27293/2014
11/2/2014,6,65796/2014
11/2/2014,20,80471/2014
11/3/2014,20,59224/2014
11/4/2014,20,24405/2014
11/5/2014,55,38667/2014
11/6/2014,6,25483/2014
11/6/2014,110,57550/2014
11/6/2014,55,79215/2014
11/7/2014,6,16456/2014
11/7/2014,20,33601/2014
11/7/2014,121,80061/2014
11/8/2014,6,24838/2014
11/9/2014,151,41824/2014
11/10/2014,110,25966/2014
11/10/2014,110,55230/2014
11/10/2014,151,71101/2014
11/11/2014,121,18495/2014
11/11/2014,6,50051/2014
11/12/2014,55,71770/2014
11/13/2014,110,98136/2014
11/14/2014,20,72901/2014
11/15/2014,6,45124/2014
11/15/2014,6,74024/2014
11/16/2014,55,38268/2014
11/16/2014,110,38268/2014
11/20/2014,55,22119/2014
11/20/2014,110,37406/2014
11/20/2014,110,38104/2014
11/20/2014,151,68378/2014
11/22/2014,110,60930/2014
11/23/2014,121,53543/2014
11/24/2014,110,38002/2014
11/25/2014,110,2957/2014
11/27/2014,55,95317/2014
11/28/2014,55,69327/2014
12/1/2014,6,61410/2014
12/1/2014,55,65517/2014
12/1/2014,110,65517/2014
12/2/2014,55,80471/2014
12/3/2014,55,59224/2014
12/3/2014,110,70784/2014
12/3/2014,20,96730/2014
12/3/2014,55,96730/2014
12/4/2014,20,29905/2014
12/4/2014,55,44418/2014
12/6/2014,6,79988/2014
12/7/2014,20,16456/2014
12/7/2014,55,33601/2014
12/9/2014,6,92338/2014
12/10/2014,121,92295/2014
12/12/2014,6,21788/2014
12/12/2014,20,68211/2014
12/12/2014,55,68211/2014
12/12/2014,110,76235/2014
12/14/2014,110,76456/2014
12/15/2014,6,90610/2014
12/16/2014,6,16429/2014
12/16/2014,6,98788/2014
12/17/2014,20,53923/2014
12/19/2014,110,18047/2014
12/20/2014,110,15617/2014
12/20/2014,6,19873/2014
12/20/2014,121,38104/2014
12/20/2014,55,53163/2014
12/20/2014,110,68378/2014
12/21/2014,6,29818/2014
12/23/2014,110,33258/2014
12/25/2014,151,35177/2014
12/25/2014,6,56897/2014
12/26/2014,6,97973/2014
12/27/2014,6,1529/2014
12/27/2014,110,39537/2014
12/27/2014,151,39537/2014
12/28/2014,55,48277/2014
12/28/2014,110,69327/2014
1/1/2015,20,61410/2014
1/2/2015,20,65796/2014
1/3/2015,121,70784/2014
1/4/2015,55,24405/2014
1/5/2015,6,37004/2015
1/5/2015,6,41051/2015
1/6/2015,20,25483/2014
1/6/2015,55,25483/2014
1/6/2015,110,79215/2014
1/6/2015,20,79988/2014
1/7/2015,110,29883/2014
1/7/2015,110,33601/2014
1/7/2015,6,54197/2015
1/8/2015,20,24838/2014
1/8/2015,6,99349/2015
1/9/2015,6,54609/2015
1/9/2015,20,92338/2014
1/11/2015,110,18495/2014
1/11/2015,20,50051/2014
1/11/2015,6,69551/2015
1/11/2015,6,81725/2015
1/11/2015,6,87885/2015
1/12/2015,20,21788/2014
1/12/2015,130,71220/2014
1/12/2015,110,71770/2014
1/13/2015,55,22094/2014
1/13/2015,6,31263/2015
1/13/2015,6,48333/2015
1/14/2015,55,72901/2014
1/14/2015,6,84203/2015
1/15/2015,20,45124/2014
1/15/2015,20,74024/2014
1/16/2015,6,88614/2015
1/16/2015,20,98788/2014
1/17/2015,55,53923/2014
1/18/2015,6,38752/2015
1/19/2015,6,1973/2015
1/20/2015,110,22119/2014
1/20/2015,145,37406/2014
1/20/2015,110,53163/2014
1/21/2015,110,76653/2014
1/21/2015,6,88163/2015
1/21/2015,6,9239/2015
1/23/2015,110,53543/2014
1/23/2015,6,70951/2015
1/24/2015,6,14994/2015
1/25/2015,20,56897/2014
1/26/2015,6,72258/2015
1/26/2015,130,88164/2014
1/26/2015,20,97973/2014
1/27/2015,6,47390/2015
1/28/2015,151,90074/2014
2/1/2015,6,49913/2015
2/1/2015,55,61410/2014
2/1/2015,6,74726/2015
2/2/2015,55,27293/2014
2/2/2015,6,41180/2015
2/3/2015,190,67107/2014
2/3/2015,110,96730/2014
2/4/2015,110,24405/2014
2/4/2015,6,2882/2015
2/4/2015,55,29905/2014
2/4/2015,6,58961/2015
2/5/2015,20,37004/2015
2/5/2015,110,38667/2014
2/5/2015,20,41051/2015
2/5/2015,6,93214/2015
2/6/2015,145,59925/2014
2/6/2015,6,63108/2015
2/7/2015,20,54197/2015
2/8/2015,55,24838/2014
2/8/2015,6,60394/2015
2/10/2015,145,12101/2014
2/11/2015,110,28585/2014
2/11/2015,55,50051/2014
2/11/2015,20,81725/2015
2/12/2015,110,68211/2014
2/13/2015,6,5285/2015
2/13/2015,6,67164/2015
2/14/2015,20,84203/2015
2/15/2015,6,27302/2015
2/15/2015,55,45124/2014
2/15/2015,55,74024/2014
2/15/2015,6,89647/2015
2/15/2015,20,90610/2014
2/15/2015,6,99796/2015
2/16/2015,20,16429/2014
2/16/2015,6,65764/2015
2/16/2015,6,73487/2015
2/16/2015,20,88614/2015
2/19/2015,130,1686/2014
2/20/2015,20,19873/2014
2/20/2015,6,87479/2015
2/21/2015,20,29818/2014
2/21/2015,55,29818/2014
2/21/2015,20,88163/2015
2/22/2015,6,73286/2015
2/24/2015,20,14994/2015
2/24/2015,130,38002/2014
2/25/2015,6,63168/2015
2/25/2015,6,74579/2015
2/26/2015,6,65122/2015
2/26/2015,110,98561/2014
2/26/2015,121,98561/2014
2/27/2015,20,1529/2014
2/27/2015,6,41729/2015
2/27/2015,20,47390/2015
2/28/2015,151,69327/2014
3/1/2015,6,12689/2015
3/2/2015,20,41180/2015
3/2/2015,55,65796/2014
3/2/2015,110,80471/2014
3/3/2015,6,19058/2015
3/4/2015,20,58961/2015
3/6/2015,151,57550/2014
3/7/2015,6,1190/2015
3/7/2015,55,16456/2014
3/8/2015,20,99349/2015
3/9/2015,6,45220/2015
3/9/2015,20,54609/2015
3/9/2015,55,92338/2014
3/10/2015,121,55230/2014
3/11/2015,6,59903/2015
3/11/2015,20,69551/2015
3/11/2015,55,81725/2015
3/11/2015,20,87885/2015
3/11/2015,55,87885/2015
3/12/2015,55,21788/2014
3/12/2015,6,65272/2015
3/12/2015,6,77445/2015
3/13/2015,110,22094/2014
3/13/2015,20,31263/2015
3/13/2015,20,48333/2015
3/13/2015,6,50207/2015
3/13/2015,20,5285/2015
3/13/2015,145,61390/2014
3/14/2015,55,84203/2015
3/15/2015,110,74024/2014
3/15/2015,6,97402/2015
3/16/2015,55,16429/2014
3/16/2015,6,47281/2015
3/16/2015,20,73487/2015
3/16/2015,55,88614/2015
3/16/2015,55,98788/2014
3/17/2015,110,53923/2014
3/18/2015,20,38752/2015
3/18/2015,55,38752/2015
3/18/2015,110,90538/2014
3/19/2015,20,1973/2015
3/20/2015,20,87479/2015
3/21/2015,55,88163/2015
3/21/2015,20,9239/2015
3/21/2015,55,9239/2015
3/22/2015,20,73286/2015
3/22/2015,110,92113/2014
3/23/2015,6,57168/2015
3/23/2015,20,70951/2015
3/24/2015,6,19690/2015
3/24/2015,6,77823/2015
3/25/2015,55,56897/2014
3/25/2015,20,63168/2015
3/25/2015,20,74579/2015
3/25/2015,6,77273/2015
3/26/2015,20,65122/2015
3/26/2015,20,72258/2015
3/26/2015,55,72258/2015
3/26/2015,6,8362/2015
3/26/2015,55,97973/2014
3/27/2015,55,47390/2015
3/27/2015,6,64899/2015
3/28/2015,6,12892/2015
4/1/2015,20,49913/2015
4/1/2015,55,49913/2015
4/1/2015,130,65517/2014
4/1/2015,20,74726/2015
4/2/2015,110,27293/2014
4/2/2015,121,27293/2014
4/2/2015,130,80471/2014
4/3/2015,110,59224/2014
4/4/2015,6,24153/2015
4/4/2015,20,2882/2015
4/4/2015,110,29905/2014
4/4/2015,110,44418/2014
4/4/2015,55,58961/2015
4/5/2015,181,34398/2014
4/5/2015,55,37004/2015
4/5/2015,55,41051/2015
4/5/2015,20,93214/2015
4/5/2015,55,93214/2015
4/6/2015,20,63108/2015
4/6/2015,55,79988/2014
4/7/2015,110,16456/2014
4/7/2015,55,54197/2015
4/8/2015,6,22004/2015
4/8/2015,20,60394/2015
4/8/2015,55,99349/2015
4/9/2015,20,45220/2015
4/10/2015,6,21971/2015
4/11/2015,6,3799/2015
4/11/2015,20,59903/2015
4/11/2015,55,69551/2015
4/12/2015,20,77445/2015
4/13/2015,55,31263/2015
4/13/2015,20,50207/2015
4/13/2015,20,67164/2015
4/13/2015,130,98136/2014
4/14/2015,6,36900/2015
4/14/2015,151,76456/2014
4/15/2015,20,27302/2015
4/15/2015,55,27302/2015
4/15/2015,6,27825/2015
4/15/2015,20,89647/2015
4/15/2015,55,90610/2014
4/15/2015,20,99796/2015
4/15/2015,55,99796/2015
4/16/2015,110,16429/2014
4/16/2015,20,65764/2015
4/19/2015,6,61384/2015
4/20/2015,145,15617/2014
4/20/2015,55,19873/2014
4/20/2015,121,52653/2014
4/22/2015,145,92113/2014
4/24/2015,55,14994/2015
4/24/2015,20,77823/2015
4/25/2015,55,63168/2015
4/25/2015,55,74579/2015
4/26/2015,110,97973/2014
4/27/2015,55,1529/2014
4/27/2015,20,41729/2015
4/27/2015,121,69017/2014
4/27/2015,110,95317/2014
4/28/2015,110,48277/2014
5/1/2015,20,12689/2015
5/1/2015,55,12689/2015
5/1/2015,55,74726/2015
5/2/2015,55,41180/2015
5/2/2015,6,45942/2015
5/2/2015,110,65796/2014
5/3/2015,20,19058/2015
5/4/2015,20,24153/2015
5/4/2015,6,6276/2015
5/6/2015,121,79215/2014
5/6/2015,110,79988/2014
5/6/2015,6,91739/2015
5/7/2015,6,11011/2015
5/7/2015,20,1190/2015
5/7/2015,55,1190/2015
5/7/2015,6,52592/2015
5/8/2015,190,33192/2014
5/9/2015,55,54609/2015
5/10/2015,6,48067/2015
5/11/2015,20,3799/2015
5/11/2015,110,50051/2014
5/11/2015,55,59903/2015
5/12/2015,6,14989/2015
5/12/2015,20,65272/2015
5/13/2015,55,48333/2015
5/13/2015,55,67164/2015
5/14/2015,20,36900/2015
5/15/2015,110,90610/2014
5/15/2015,20,97402/2015
5/16/2015,6,33118/2015
5/16/2015,20,47281/2015
5/16/2015,110,88614/2015
5/19/2015,55,1973/2015
5/19/2015,6,21325/2015
5/19/2015,6,5209/2015
5/20/2015,6,17735/2015
5/20/2015,110,19873/2014
5/20/2015,6,23988/2015
5/20/2015,6,38415/2015
5/21/2015,6,97531/2015
5/22/2015,55,73286/2015
5/23/2015,20,57168/2015
5/23/2015,55,70951/2015
5/24/2015,20,19690/2015
5/25/2015,6,53984/2015
5/25/2015,20,77273/2015
5/25/2015,55,77273/2015
5/26/2015,55,65122/2015
5/26/2015,20,8362/2015
5/26/2015,55,8362/2015
5/27/2015,20,64899/2015
5/28/2015,20,12892/2015
5/28/2015,55,12892/2015
5/28/2015,151,48277/2014
6/1/2015,6,40489/2015
6/1/2015,110,49913/2015
6/1/2015,110,61410/2014
6/2/2015,20,45942/2015
6/3/2015,55,19058/2015
6/3/2015,6,2013/2015
6/4/2015,55,24153/2015
6/4/2015,55,2882/2015
6/4/2015,6,85554/2015
6/5/2015,6,25925/2015
6/5/2015,110,93214/2015
6/6/2015,130,25483/2014
6/6/2015,55,63108/2015
6/6/2015,145,79988/2014
6/6/2015,20,91739/2015
6/7/2015,20,11011/2015
6/7/2015,110,54197/2015
6/8/2015,20,22004/2015
6/8/2015,55,22004/2015
6/8/2015,55,60394/2015
6/9/2015,55,45220/2015
6/9/2015,110,54609/2015
6/9/2015,6,83271/2015
6/9/2015,110,92338/2014
6/10/2015,20,21971/2015
6/11/2015,6,52102/2015
6/11/2015,110,81725/2015
6/12/2015,6,60972/2015
6/13/2015,6,13879/2015
6/13/2015,55,5285/2015
6/14/2015,110,72901/2014
6/15/2015,110,27302/2015
6/15/2015,20,27825/2015
6/15/2015,110,45124/2014
6/15/2015,55,89647/2015
6/16/2015,55,47281/2015
6/16/2015,55,65764/2015
6/16/2015,55,73487/2015
6/16/2015,110,98788/2014
6/18/2015,110,38752/2015
6/19/2015,20,21325/2015
6/19/2015,20,61384/2015
6/20/2015,20,23988/2015
6/20/2015,6,26320/2015
6/20/2015,20,38415/2015
6/20/2015,55,87479/2015
6/20/2015,6,97454/2015
6/21/2015,110,88163/2015
6/21/2015,20,97531/2015
6/23/2015,55,57168/2015
6/24/2015,55,19690/2015
6/24/2015,55,77823/2015
6/25/2015,20,53984/2015
6/26/2015,6,50157/2015
6/27/2015,55,41729/2015
6/27/2015,55,64899/2015
7/1/2015,110,74726/2015
7/2/2015,6,28082/2015
7/4/2015,20,6276/2015
7/4/2015,20,85554/2015
7/5/2015,20,25925/2015
7/5/2015,130,38667/2014
7/6/2015,6,17760/2015
7/6/2015,110,25483/2014
7/6/2015,6,42533/2015
7/6/2015,181,59925/2014
7/7/2015,6,44309/2015
7/7/2015,20,52592/2015
7/8/2015,110,24838/2014
7/9/2015,110,45220/2015
7/10/2015,20,48067/2015
7/10/2015,55,48067/2015
7/11/2015,20,52102/2015
7/11/2015,110,87885/2015
7/12/2015,20,14989/2015
7/12/2015,55,14989/2015
7/12/2015,6,32985/2015
7/12/2015,55,65272/2015
7/12/2015,121,71770/2014
7/12/2015,55,77445/2015
7/12/2015,6,95696/2015
7/13/2015,20,13879/2015
7/13/2015,55,50207/2015
7/13/2015,110,5285/2015
7/13/2015,6,56888/2015
7/14/2015,55,36900/2015
7/14/2015,6,61398/2015
7/14/2015,110,84203/2015
7/15/2015,55,27825/2015
7/15/2015,55,97402/2015
7/16/2015,6,1273/2015
7/16/2015,20,33118/2015
7/16/2015,145,38268/2014
7/16/2015,110,73487/2015
7/17/2015,6,77406/2015
7/18/2015,121,90538/2014
7/19/2015,110,1973/2015
7/19/2015,20,5209/2015
7/20/2015,20,17735/2015
7/20/2015,20,26320/2015
7/20/2015,130,53163/2014
7/20/2015,6,80316/2015
7/20/2015,110,87479/2015
7/20/2015,20,97454/2015
7/25/2015,110,74579/2015
7/25/2015,110,77273/2015
7/26/2015,6,12725/2015
7/26/2015,6,35891/2015
7/26/2015,110,8362/2015
7/27/2015,110,1529/2014
7/27/2015,110,41729/2015
7/27/2015,110,47390/2015
7/28/2015,6,23746/2015
8/1/2015,110,12689/2015
8/1/2015,20,40489/2015
8/1/2015,55,40489/2015
8/1/2015,121,49913/2015
8/2/2015,55,45942/2015
8/3/2015,20,2013/2015
8/3/2015,130,96730/2014
8/4/2015,151,24405/2014
8/4/2015,55,6276/2015
8/5/2015,55,25925/2015
8/6/2015,20,42533/2015
8/6/2015,6,48477/2015
8/7/2015,151,33601/2014
8/7/2015,20,44309/2015
8/8/2015,110,99349/2015
8/9/2015,6,73744/2015
8/9/2015,20,83271/2015
8/9/2015,55,83271/2015
8/10/2015,55,21971/2015
8/10/2015,110,21971/2015
8/11/2015,6,20762/2015
8/11/2015,181,28585/2014
8/11/2015,55,3799/2015
8/11/2015,110,3799/2015
8/11/2015,110,59903/2015
8/12/2015,110,21788/2014
8/12/2015,20,32985/2015
8/12/2015,20,60972/2015
8/12/2015,20,95696/2015
8/13/2015,110,31263/2015
8/13/2015,110,48333/2015
8/13/2015,20,56888/2015
8/13/2015,121,67164/2015
8/14/2015,6,42446/2015
8/14/2015,6,58264/2015
8/15/2015,110,27825/2015
8/15/2015,110,89647/2015
8/15/2015,110,97402/2015
8/16/2015,20,1273/2015
8/16/2015,110,47281/2015
8/16/2015,110,65764/2015
8/17/2015,6,30548/2015
8/17/2015,20,77406/2015
8/19/2015,55,61384/2015
8/20/2015,55,17735/2015
8/20/2015,55,38415/2015
8/20/2015,20,80316/2015
8/21/2015,110,29818/2014
8/21/2015,55,97531/2015
8/22/2015,6,37806/2015
8/23/2015,6,12090/2015
8/23/2015,151,70951/2015
8/24/2015,110,14994/2015
8/24/2015,6,46134/2015
8/25/2015,6,36082/2015
8/25/2015,6,48044/2015
8/25/2015,110,56897/2014
8/26/2015,20,35891/2015
8/26/2015,6,41775/2015
8/26/2015,20,50157/2015
8/26/2015,110,72258/2015
8/27/2015,6,47373/2015
8/28/2015,181,90074/2014
9/1/2015,6,82959/2015
9/2/2015,20,28082/2015
9/2/2015,110,41180/2015
9/3/2015,6,38965/2015
9/4/2015,55,85554/2015
9/5/2015,110,37004/2015
9/5/2015,110,41051/2015
9/5/2015,6,71236/2015
9/6/2015,20,17760/2015
9/6/2015,55,42533/2015
9/6/2015,20,48477/2015
9/6/2015,110,63108/2015
9/6/2015,55,91739/2015
9/6/2015,6,96748/2015
9/7/2015,55,11011/2015
9/7/2015,55,44309/2015
9/7/2015,55,52592/2015
9/7/2015,110,52592/2015
9/7/2015,6,93663/2015
9/8/2015,110,22004/2015
9/8/2015,151,24838/2014
9/8/2015,145,60394/2015
9/8/2015,6,61931/2015
9/8/2015,6,74905/2015
9/9/2015,6,83114/2015
9/9/2015,6,85607/2015
9/9/2015,121,92338/2014
9/11/2015,20,20762/2015
9/11/2015,130,50051/2014
9/11/2015,55,52102/2015
9/11/2015,110,69551/2015
9/12/2015,110,65272/2015
9/13/2015,121,50207/2015
9/13/2015,55,56888/2015
9/13/2015,110,67164/2015
9/13/2015,6,88046/2015
9/14/2015,110,36900/2015
9/14/2015,20,61398/2015
9/15/2015,110,99796/2015
9/16/2015,55,1273/2015
9/16/2015,55,33118/2015
9/16/2015,6,37681/2015
9/16/2015,6,45714/2015
9/17/2015,6,25523/2015
9/17/2015,20,30548/2015
9/17/2015,6,71507/2015
9/18/2015,6,41944/2015
9/19/2015,55,21325/2015
9/19/2015,110,21325/2015
9/19/2015,55,5209/2015
9/20/2015,151,19873/2014
9/20/2015,55,23988/2015
9/20/2015,55,97454/2015
9/21/2015,110,9239/2015
9/21/2015,145,9239/2015
9/21/2015,6,95838/2015
9/23/2015,190,41449/2014
9/23/2015,130,57168/2015
9/23/2015,110,70951/2015
9/24/2015,6,94817/2015
9/25/2015,55,53984/2015
9/25/2015,110,53984/2015
9/26/2015,20,12725/2015
9/26/2015,55,12725/2015
9/26/2015,55,35891/2015
9/26/2015,20,41775/2015
9/26/2015,6,43628/2015
9/26/2015,55,50157/2015
9/26/2015,110,65122/2015
9/27/2015,20,47373/2015
9/27/2015,121,47390/2015
9/28/2015,6,11322/2015
9/28/2015,110,12892/2015
9/28/2015,20,23746/2015
9/28/2015,55,23746/2015
9/28/2015,190,48277/2014
10/2/2015,110,45942/2015
10/2/2015,6,97008/2015
10/3/2015,110,19058/2015
10/3/2015,55,2013/2015
10/3/2015,110,2013/2015
10/3/2015,20,38965/2015
10/3/2015,145,59224/2014
10/4/2015,121,24153/2015
10/4/2015,110,2882/2015
10/4/2015,121,29905/2014
10/4/2015,110,58961/2015
10/4/2015,6,60069/2015
10/4/2015,110,85554/2015
10/5/2015,110,25925/2015
10/6/2015,6,38239/2015
10/6/2015,55,48477/2015
10/6/2015,20,96748/2015
10/7/2015,110,11011/2015
10/7/2015,121,1190/2015
10/7/2015,6,18978/2015
10/7/2015,6,2145/2015
10/7/2015,6,26733/2015
10/7/2015,20,93663/2015
10/8/2015,110,60394/2015
10/8/2015,20,61931/2015
10/9/2015,20,73744/2015
10/9/2015,20,85607/2015
10/10/2015,130,21971/2015
10/10/2015,6,4396/2015
10/11/2015,151,81725/2015
10/11/2015,151,87885/2015
10/12/2015,110,14989/2015
10/12/2015,55,32985/2015
10/12/2015,55,60972/2015
10/12/2015,130,68211/2014
10/12/2015,6,88872/2015
10/12/2015,55,95696/2015
10/13/2015,55,13879/2015
10/13/2015,6,27444/2015
10/13/2015,151,31263/2015
10/13/2015,110,50207/2015
10/14/2015,6,41291/2015
10/14/2015,20,42446/2015
10/14/2015,55,42446/2015
10/14/2015,20,58264/2015
10/14/2015,55,61398/2015
10/15/2015,6,3446/2015
10/16/2015,20,37681/2015
10/17/2015,6,48655/2015
10/17/2015,20,71507/2015
10/18/2015,20,41944/2015
10/18/2015,6,75346/2015
10/19/2015,121,1973/2015
